user,review,rating,app,word_count,is_spam_candidate,label,,,
Thị Ngọc Anh Trần,mã giảm giá cứ không dùng được có xoá rồi tải lại cũng kh dùng được rất mệt,1,Shopee,18,TRUE,negative,,negative,1206
Quốc Phẩm Trần,"hàng cả tháng không giao , không hủy , giữ hàng do đã thanh toán trước , liên hệ tổng đài thì bận miết , ntin tự động ko thèm giải quyết",1,Sendo,32,TRUE,negative,,positive,249
lâm vũ,tồi tệ lần đầu đặt hàng kêu xác thực số điện thoại mà đến lúc đồng ý đợi mã thì không gửi về máy lần thứ 2 thì kêu số điện thoại không được lỗi nhờ hỗ trợ thì không đúng làm ăn như cak,1,Shopee,45,TRUE,negative,,other,207
Thị Oanh Nguyễn,<3😍😍😍😍,1,Sendo,1,TRUE,other,,neutral,662
Lê song thương,số điện thoại thì k đặt dược.đăng nhập bằng facebook hoặc google thì phải xác minh số điện thoại.xác minh xong r thì lại có lỗi bay nik luôn.thề bất lực,1,Shopee,31,TRUE,negative,,,
Ngọc Nguyễn bt21,tự nhiên bắt nhập cccd vậy shop định đi theo zalo hay gì🙄🙄🙄,1,Shopee,13,TRUE,negative,,,
Hoài Phương Nguyễn,"làm ăn rất không chuyên nghiệp, làm sai đơn, tự sửa lại thì sửa theo hướng có lợi cho mình. liên hệ thì không có người tiếp nhận",1,Tiki,28,TRUE,negative,,,
Đinh Thị vui,sử dụng mã giảm giá mà cứ báo lỗi không dùng được,1,Shopee,12,TRUE,negative,,,
Gia Hân,"người mới mà ko sài đc mã giảm giá ưu đãi, freeship thì ko có, chán tiki ghê, có shopee là nhất thôi",1,Tiki,23,TRUE,negative,,,
Ái Như Nguyễn Thị,"đặt bản đặc biệt giao bản thường,liên hệ để đổi trả thì ko ai giải quyết,nhắn tin cho shop thì shop seen ko rep.nói chung dịch vụ tệ hại.ko bao giờ mua ở tiki",1,Tiki,34,TRUE,negative,,,
Nhớ Hathikieu,"hôm nay 15/1/2026 ngày săn sale, nhưng mà cập nhật rồi vẫn mua hàng k được là sao ta? mặc dù 4g của mình vẫn hoạt động mua hàng ở những trang khác bình thường, còn vô shopee thì cứ quay, hoạt nhấn vô mua hàng k được, bực cả mình......😡😡😡😡😡",1,Shopee,51,TRUE,negative,,,
