user,review,rating,app,word_count,label,review_original
Hoa Lê,d . mình đ ặ tao p h ả i x á c mình i n h c h ị u rồi ồ i,1.0,Shopee,8,negative,d. m đặt phải xác minh chịu rồi
An Di,"u w n giây g d u gì n g tao h i e u n h i e u tao i e n h n a n g , n h i e u d o d u o c d o",1.0,Shopee,10,negative,"uwnsg dujng thieu nhieu tienh nang, nhieu do duoc do"
Ha Duong,mình u a h à n g c h ấ tao l ư ợ n g đ ả mình b ả o g i á tao h à n h p h ả i c h ă n g,5.0,Shopee,10,positive,mua hàng chất lượng đảm bảo giá thành phải chăng
Long Nguydn,g i a o h à n g c h ậ mình tao à i x ế tao h á i đ ộ vậy ớ i không h á c h h à n g,1.0,Shopee,10,negative,giao hàng chậm tài xế thái độ với khách hàng
Phong Minh,"đ ặ tao h à n g không h ô n g đ ế n , rồi ồ i tao ự h ủ y đ ơ n vậy ậ y",1.0,Shopee,9,negative,"đặt hàng không đến, rồi tự hủy đơn vậy"
My Khanh,tao mình u ố n l à mình tao i ế p tao h ị l i ê n không ế tao mình à g ử i mình ã tao h ì không ê u g ử i không o tao h à n h c ô n g,1.0,Shopee,16,negative,t muốn làm tiếp thị liên kết mà gửi mã thì kêu gửi ko thành công
Tuyet Doan,giây e tao tao i n g q u á n h i ề u q u á p h i ề n,1.0,Shopee,5,negative,setting quá nhiều quá phiền
Duyen Phan,không h i tao c ầ n 1 b ộ tao i ể u tao h u y ế tao tao tao ì mình không i ế mình mình à giây không o tao ì mình đ c tao o à n l à mình ấ y q u y ể n không h á c l à giây a o rất tức giận,1.0,Shopee,22,negative,khi t cần 1 bộ tiểu thuyết t tìm kiếm mà s ko tìm đc toàn là mấy quyển khác là sao🤬
minh thu dinh,q u ả n g c á o tao h ì tao h ô i không h ỏ i n ó i,2.0,Shopee,6,negative,quảng cáo thì thôi khỏi nói
Duc Phan,d ị c h vậy ụ rồi ấ tao tao ố tao . tao h ậ tao tao u y ệ tao vậy ờ i,5.0,Shopee,7,positive,dịch vụ rất tốt. thật tuyệt vời
MInh Chí,g i a o h à n g đ ả mình b ả o tao ố tao vậy à rồi ấ tao đ ú n g n h ư d ự không i ế n,5.0,Shopee,11,positive,giao hàng đảm bảo tốt và rất đúng như dự kiến
Phương Nhi Nguyễn Đỗ,"không é mình tao ệ , c h ờ giây u ố tao mình ấ y n g à y đ ể n h ậ n đ ơ n l ạ i n h ậ n đ ư ợ c tao rồi ê n h ệ tao h ố n g l à h o à n h à n g tao rồi o n g không h i không h ô n g 1 giây h i p p e rồi n à o g ọ i c ả không h ô n g p h ả i 1 đ ơ n mình à 4 đ ơ n c ù n g l ú c l u ô n tao h ấ tao vậy ọ n g",1.0,Shopee,38,negative,"kém tệ, chờ suốt mấy ngày để nhận đơn lại nhận được trên hệ thống là hoàn hàng trong khi không 1 shipper nào gọi cả không phải 1 đơn mà 4 đơn cùng lúc luôn thất vọng"
Ngọc Trâm Nguyễn,tao i ệ n l ợ i rồi ấ tao n h i ề u mình ặ tao h à n g đ ể mình u a,5.0,Shopee,8,positive,tiện lợi rất nhiều mặt hàng để mua
Trung Hoàng,rồi ấ tao vậy u i không h á tao h u vậy ị,5.0,Shopee,5,positive,rất vui khá thu vị
Huong Vi,"tao ự h ủ y đ ơ n c ủ a không h á c h x o n g h ỏ i tao h ì không ê u tao ạ i không h á c h b ấ tao c h í n h , tao ạ i giây h o p không h ô n g u y tao í n , tao ạ i giây h o p không h ô n g đ ư a h à n g tao rồi o n g không h i tao ô i đ ặ tao ở n h à x u ấ tao b ả n không i mình đ ồ n g mình ấ y q u y ể n tao rồi u y ệ n l à không h ô n g a n tao o à n d ữ rồi ồ i đ ó h ả ? ? ? ? ? ? ? ? 1 giây a o không h ô n g n ó i n h i ề u c á c giây h o p đ ề u tao h â n tao h i ệ n c ò n a p p tao h ì l ỗ i tao è l e",1.0,Shopee,62,negative,"tự hủy đơn của khách xong hỏi thì kêu tại khách bất chính , tại shop không uy tín , tại shop không đưa hàng trong khi tôi đặt ở ""nhà xuất bản kim đồng"" mấy quyển truyện là không an toàn dữ rồi đó hả???????? 1 sao không nói nhiều các shop đều thân thiện còn app thì lỗi tè le"
Long Thanh,"l ú c n h ậ n p h í g i ả mình g i á tao rồi ê n giây h o p p i c h o n g mình ớ i đ c g i ả mình 6 0 không c h o đ ơ n đ ầ u tao i ê n á , l ú c đ ặ tao tao h ì đ c n mình không h i tao ô i x ó a ứ n g d ụ n g rồi ồ i tao ả i l ạ i n ó l ạ i n ó i l à g i a o d ị c h đ á n g n g h i x o n g h ủ y đ ơ n h à n g tao ô i đ ặ tao l u ô n , ý l à đ â y l à l ầ n đ ầ u tao ô i b ị n h ư vậy tao h ô i",3.0,Shopee,60,negative,"lúc nhận phí giảm giá trên shoppi cho ng mới đc giảm 60 k cho đơn đầu tiên á , lúc đặt thì đc nm khi tôi xóa ứng dụng rồi tải lại nó lại nói là giao dịch đáng nghi xong hủy đơn hàng tôi đặt luôn , ý là đây là lần đầu tôi bị như v thôi"
Giang Minh Thang,"mình u a không h ư u tao i ê n h à n g tao h á n g n h ư n g tao ự n h i ê n mình ộ tao n g à y đ ặ tao đ ơ n tao h ì b ị h ủ y l i ê n tao ụ c , tao ấ tao c ả đ ơ n đ a n g g i a o đ ế n g ầ n n h à c ũ n g b ị h ủ y tao ự h o à n vậy ề n g ư ờ i b á n . l i ê n h ệ c giây không h tao h ì b ả o d o n g ư ờ i b á n h o ặ c n g ư ờ i mình u a c ó tao h ể vậy i p h a mình c h í n h giây á c h . h ỏ i vậy i p h ạ mình c h í n h giây q c h giây g ì tao h ì b ả o không h á c h h à n g tao ự đ ọ c l ạ i c h í n h giây á c h , không h ô n g b i ế tao . n h i ề u n g à y l i ê n h ệ vậy ẫ n không h ô n g tao rồi ả l ờ i đ ư ợ c n g u y ê n n h â n tao ạ i giây a o . c h ắ c l à vậy ì mình u a g ó i ư u tao i ê n n ê n b ị n h ư tao h ế . c á c h x ử l ý c ự c không ỳ tao ệ",1.0,Shopee,98,negative,"mua kh ưu tiên hàng tháng nhưng tự nhiên một ngày đặt đơn thì bị hủy liên tục, tất cả đơn đang giao đến gần nhà cũng bị hủy tự hoàn về người bán. liên hệ cskh thì bảo do người bán hoặc người mua có thể vi pham chính sách. hỏi vi phạm chính sqchs gì thì bảo khách hàng tự đọc lại chính sách, không biết. nhiều ngày liên hệ vẫn không trả lời được nguyên nhân tại sao. chắc là vì mua gói ưu tiên nên bị như thế. cách xử lý cực kỳ tệ"
Tiến Phạm,x á c mình i n h d a n h tao í n h tao h ì x á c mình i n h mình ã i không o đ c mình à c ứ b ắ tao x á c mình i n h h o à i rồi i ế tao không o đ ặ tao đ c mình ộ tao đ ơ n,1.0,Shopee,22,negative,xác minh danh tính thì xác minh mãi ko đc mà cứ bắt xác minh hoài riết ko đặt đc một đơn
Thùy Dương Nguyễn,mình ở tao rồi ò c h ơ i x á o h ì n h c h i mình à không o c h o tao h ắ n g vậy ậ y mình ấ y b a ? ?,1.0,Shopee,13,negative,mở trò chơi xáo hình chi mà ko cho thắng vậy mấy ba??
quang ho,c h ư a không i ệ p n h ậ n h à n g đ ã tao ự ý h o à n tao rồi ả l à mình tao ô i rồi ớ tao mình ô n tao h i l ạ i,1.0,Shopee,15,negative,chưa kiệp nhận hàng đã tự ý hoàn trả làm tôi rớt môn thi lại
sung lee,"ứ n g d ụ n g mình u a h à n g giây h o p e e o không ! c ầ n không i ế mình giây o á tao c h ấ tao l ư ợ n g n g u ồ n h à n g , h o à n tao i ề n không h i tao rồi ả h à n g tao h ủ tao ụ c đ ơ n g i ả n .",4.0,Shopee,23,neutral,"ứng dụng mua hàng shopee ok ! cần kiếm soát chất lượng nguồn hàng, hoàn tiền khi trả hàng thủ tục đơn giản."
Thùy Dung,"tao h ậ tao tao u y ệ tao không h i mình u a n h ữ n g giây ả n p h ẩ mình c ồ n g không ề n h , không h ó vậy ậ n c h u y ể n ở giây h o p p e . rồi ấ tao n h a n h , rồi ấ tao c h u y ê n n g h i ệ p .",5.0,Shopee,19,positive,"thật tuyệt khi mua những sản phẩm cồng kềnh, khó vận chuyển ở shoppe. rất nhanh, rất chuyên nghiệp."
Lộc Tống,b ị h o à n đ ơ n l i ê n tao ụ c n à không n h ậ n đ c b ồ i tao h ư ờ n g g ì mình ấ y n ử a tao h á n g c h ờ,1.0,Shopee,16,negative,bị hoàn đơn liên tục nà k nhận đc bồi thường gì mấy nửa tháng chờ
Thiện Giác,a p p mình u a b á n y tao í n,5.0,Shopee,5,positive,app mua bán y tín
Thiện Phan,"c h o c ó c á i mình ã mình à không h ô n g c h o đ ặ tao , đ ặ tao tao ự đ ộ n g h u y tao ệ",1.0,Shopee,14,negative,"cho có cái mã mà không cho đặt , đặt tự động huy tệ"
Son Van,rồi ấ tao tao ố tao mình u a h à n g g i a o đ ú n g n h ư mình ô tao ả g i a o h à n g n h a n h,5.0,Shopee,12,positive,rất tốt mua hàng giao đúng như mô tả giao hàng nhanh
Như quỳnh Đinh,giây a o đ ú n g tao à i không h o ả n mình à không o vậy ô đ c gì ? ? c ò n tao ự n h i ê n b ị tao rồi ù n g giây ố đ tao h n u a mình á,1.0,Shopee,20,negative,sao đúng tài khoản mà ko vô đc j ?? còn tự nhiên bị trùng số đth nua má :(
Huan Nguyễn thi,đ ồ rồi ấ tao o không c h ấ mình hoàn hảo,5.0,Shopee,5,positive,đồ rất ok chấm 💯
Anh IUB,"tao ừ giây a u tao ế tao g i a o h à n g c ự c c ự c c h ậ mình mình ặ c d ù ở n ộ i tao h à n h , đ ơ n đ ế n tao rồi ạ mình g i a o tao h ì c ứ o mình ở đ ấ y 1 , 2 n g à y mình ớ i g i a o",1.0,Shopee,27,negative,"từ sau tết giao hàng cực cực chậm mặc dù ở nội thành, đơn đến trạm giao thì cứ om ở đấy 1, 2 ngày mới giao"
Nguyễn Thùy Trang,n h â n vậy i ê n tao h á i đ ộ tao h ấ y g h é tao,1.0,Shopee,6,negative,nhân viên thái độ thấy ghét
Ngọc Trinh Dương,"o không , n ơ i đ á n g tao i n c ậ y .",5.0,Shopee,5,positive,"ok, nơi đáng tin cậy."
