user,review,rating,app,word_count,label,review_original
Hoa Lê,d. mình đặt phải xác minh chịu rồi,1.0,Shopee,8,negative,d. m đặt phải xác minh chịu rồi
An Di,"uwnsg dujng thieu nhieu tienh nang, nhieu do duoc do",1.0,Shopee,10,negative,"uwnsg dujng thieu nhieu tienh nang, nhieu do duoc do"
Ha Duong,mua hàng chất lượng đảm bảo giá thành phải chăng,5.0,Shopee,10,positive,mua hàng chất lượng đảm bảo giá thành phải chăng
Long Nguydn,giao hàng chậm tài xế thái độ với khách hàng,1.0,Shopee,10,negative,giao hàng chậm tài xế thái độ với khách hàng
Phong Minh,"đặt hàng không đến, rồi tự hủy đơn vậy",1.0,Shopee,9,negative,"đặt hàng không đến, rồi tự hủy đơn vậy"
My Khanh,tao muốn làm tiếp thị liên kết mà gửi mã thì kêu gửi không thành công,1.0,Shopee,16,negative,t muốn làm tiếp thị liên kết mà gửi mã thì kêu gửi ko thành công
Tuyet Doan,setting quá nhiều quá phiền,1.0,Shopee,5,negative,setting quá nhiều quá phiền
Duyen Phan,khi tao cần 1 bộ tiểu thuyết tao tìm kiếm mà giây không tìm được toàn là mấy quyển khác là sao rất tức giận,1.0,Shopee,22,negative,khi t cần 1 bộ tiểu thuyết t tìm kiếm mà s ko tìm đc toàn là mấy quyển khác là sao🤬
minh thu dinh,quảng cáo thì thôi khỏi nói,2.0,Shopee,6,negative,quảng cáo thì thôi khỏi nói
Duc Phan,dịch vụ rất tốt. thật tuyệt vời,5.0,Shopee,7,positive,dịch vụ rất tốt. thật tuyệt vời
MInh Chí,giao hàng đảm bảo tốt và rất đúng như dự kiến,5.0,Shopee,11,positive,giao hàng đảm bảo tốt và rất đúng như dự kiến
Phương Nhi Nguyễn Đỗ,"kém tệ, chờ suốt mấy ngày để nhận đơn lại nhận được trên hệ thống là hoàn hàng trong khi không 1 người giao hàng nào gọi cả không phải 1 đơn mà 4 đơn cùng lúc luôn thất vọng",1.0,Shopee,38,negative,"kém tệ, chờ suốt mấy ngày để nhận đơn lại nhận được trên hệ thống là hoàn hàng trong khi không 1 shipper nào gọi cả không phải 1 đơn mà 4 đơn cùng lúc luôn thất vọng"
Ngọc Trâm Nguyễn,tiện lợi rất nhiều mặt hàng để mua,5.0,Shopee,8,positive,tiện lợi rất nhiều mặt hàng để mua
Trung Hoàng,rất vui khá thu vị,5.0,Shopee,5,positive,rất vui khá thu vị
